Quelle est la capitale du Japon?,Tokyo,Pékin,Séoul,Bangkok
Qui a écrit "Harry Potter"?,J.K. Rowling,Stephen King,George R.R. Martin,Roald Dahl
Quel est le plus grand désert du monde?,Antarctique,Sahara,Gobi,Atacama
Quel est le symbole chimique de l'argent?,Ag,Au,Fe,Hg
Dans quel pays se trouve la Grande Muraille de Chine?,Chine,Japon,Corée du Sud,Inde
Quelle est la plus grande île du monde?,Groenland,Australie,Borneo,Madagascar
Qui a peint "La Nuit étoilée"?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet
Quelle est la monnaie utilisée au Royaume-Uni?,Livre sterling,Euro,Dollar américain,Yen japonais
Quel est le plus grand animal terrestre?,Éléphant,Girafe,Rhinocéros,Hippopotame
Où se trouve le Taj Mahal?,Inde,Turquie,Égypte,Chine
Qui a écrit "Orgueil et Préjugés"?,Jane Austen,Charles Dickens,Charlotte Brontë,Leo Tolstoï
Quel est le plus grand lac d'Amérique du Nord?,Lac Supérieur,Lac Michigan,Lac Huron,Lac Érié
Quelle est la langue officielle du Brésil?,Portugais,Espagnol,Anglais,Français
Qui a découvert la pénicilline?,Alexander Fleming,Marie Curie,Louis Pasteur,Albert Einstein
Quelle est la capitale de l'Australie?,Canberra,Sydney,Melbourne,Brisbane
Quel est le plus grand océan du monde?,Pacifique,Atlantique,Indien,Antarctique
Qui a écrit "Roméo et Juliette"?,William Shakespeare,Jane Austen,Charles Dickens,Mark Twain
Quelle est la capitale de l'Allemagne?,Berlin,Munich,Hambourg,Francfort
Quel est le plus grand animal marin?,Baleine bleue,Requin blanc,Calmar géant,Dauphin
Quel est le plus haut sommet d'Afrique?,Mont Kilimandjaro,Mont Kenya,Mont Ruapehu,Mont Elbrouz
Quelle est la capitale du Brésil?,Brasilia,Rio de Janeiro,São Paulo,Buenos Aires
Qui a écrit "Les Misérables"?,Victor Hugo,Charles Dickens,Leo Tolstoï,Fiodor Dostoïevski
Quel est le plus grand océan du monde?,Pacifique,Atlantique,Indien,Arctique
Quel élément chimique a pour symbole "Na"?,Sodium,Nickel,Néon,Soufre
Où se trouve la Tour de Pise?,Italie,France,Espagne,Grèce
Qui a peint "La Joconde"?,Leonardo da Vinci,Michel-Ange,Pablo Picasso,Vincent van Gogh
Quel est le plus grand désert chaud du monde?,Sahara,Gobi,Kalahari,Atacama
Quel est le plus grand mammifère terrestre?,Éléphant,Girafe,Rhinocéros,Hippopotame
Qui a écrit "Don Quichotte"?,Miguel de Cervantes,William Shakespeare,Dante Alighieri,Johann Wolfgang von Goethe
Quelle est la monnaie utilisée au Japon?,Yen,Won,Yuan,Baht
Où se trouve la statue de la Liberté?,New York,Washington D.C.,Los Angeles,Chicago
Quel est le plus grand lac d'Amérique du Nord?,Lac Supérieur,Lac Michigan,Lac Huron,Lac Érié
Qui a découvert l'Amérique en 1492?,Christophe Colomb,Vasco de Gama,Ferdinand Magellan,Marco Polo
Quel est le pays le plus grand d'Amérique du Sud?,Brésil,Argentine,Colombie,Pérou
Quelle est la langue officielle de l'Égypte?,Arabe,Persan,Swahili,Turc
Qui a écrit "Orgueil et Préjugés"?,Jane Austen,Charlotte Brontë,Emily Brontë,Charles Dickens
Quel est le plus grand océan du monde?,Pacifique,Atlantique,Indien,Antarctique
Quelle est la capitale de l'Espagne?,Madrid,Barcelone,Lisbonne,Rome
Quel est le plus grand canyon du monde?,Grand Canyon,Canyon de Chelly,Barranca del Cobre,Fish River Canyon
Qui a écrit "Roméo et Juliette"?,William Shakespeare,Oscar Wilde,Emily Brontë,Charles Dickens